Продукт;ккал на 100 г;Белки, г;Жиры, г;Углеводы, г;Примечание
Сырники;220;11.0;8.0;25.0;домашние, жареные
Сметана 10%;115;3.0;10.0;2.9;
Сметана 15%;158;2.9;15.0;3.0;
Сметана 20%;206;2.8;20.0;3.2;
Творог 5%;121;17.2;5.0;1.8;
Творог 9%;159;16.7;9.0;2.0;
Творог обезжиренный;71;16.5;0.2;1.3;
Яйцо куриное;157;12.7;11.5;0.7;целое, варёное
Овсянка на воде;88;3.0;1.7;15.0;каша готовая
Овсянка на молоке;102;3.2;2.5;16.0;каша готовая
Гречка варёная;101;4.2;1.1;18.6;
Рис варёный;116;2.2;0.5;24.9;
Макароны варёные;112;3.5;0.4;23.2;
Картофель варёный;82;2.0;0.4;16.7;
Картофель жареный;192;2.8;9.5;23.4;
Курица грудка варёная;137;29.8;1.8;0.5;
Курица бедро жареное;210;25.0;12.0;0.0;без кожи, ориентир
Говядина тушёная;232;24.0;14.0;0.0;
Котлета мясная;220;14.0;14.0;8.0;жареная, ориентир
Рыба запечённая;140;22.0;5.0;0.0;нежирная, ориентир
Лосось запечённый;210;22.0;13.0;0.0;
Хлеб белый;265;7.6;3.2;50.0;
Хлеб чёрный;210;6.6;1.2;41.0;
Банан;96;1.5;0.2;21.0;
Яблоко;52;0.4;0.4;11.8;
Огурец;15;0.8;0.1;2.5;
Помидор;20;0.6;0.2;4.2;
Салат овощной без масла;35;1.5;0.3;6.0;огурец+помидор+зелень
Салат овощной с маслом;90;1.5;7.0;6.0;~1 ч.л. масла на порцию в составе
Масло подсолнечное;899;0.0;99.9;0.0;
Масло оливковое;898;0.0;99.8;0.0;
Майонез;627;1.0;67.0;2.6;классический, ориентир
Борщ;50;2.5;2.0;5.5;порция супа, ориентир
Суп куриный;45;3.5;1.5;4.0;ориентир
Пельмени варёные;215;10.0;9.0;24.0;ориентир
Блины;220;6.0;8.0;30.0;без начинки
Оладьи;200;6.0;7.0;28.0;
Йогурт натуральный 2%;60;4.3;2.0;5.5;
Молоко 2.5%;52;2.8;2.5;4.7;
Сыр твёрдый;350;25.0;27.0;0.0;ориентир
Авокадо;160;2.0;15.0;9.0;
Арахисовая паста;588;25.0;50.0;20.0;
Шоколад тёмный;540;5.0;30.0;52.0;
Печенье сахарное;450;7.0;15.0;72.0;
Кофе чёрный без сахара;2;0.2;0.0;0.0;
Чай без сахара;1;0.0;0.0;0.0;
Кока-кола;42;0.0;0.0;10.6;
Сок апельсиновый;45;0.7;0.2;10.0;
